commit	val_bpb	artifact_bytes	status	description
1c3246d	2.13472	9627162	discard	iter 4: 16 experts at rank 64/96 (constant rank-units vs iter 3 a3). Single GPU = 372 steps in 1h (vs 770 on 2 GPUs). Routing balanced: attn_cv 0.23-0.32, no expert collapse, all 16 experts active (min 3.9%, max 10.6%). K-sweep flat k4=k8=k16=2.1347. val_bpb 2.13 is purely from undertraining (single GPU). STRUCTURAL FINDING: 16 experts at constant compute DO NOT collapse with existing routing regularization (bal_loss_coef=5e-3). gg_iter monotone decreasing [0.109,...,0.037] — model learned a structured per-iter schedule even with 16 rank-64 experts
bd72574	1.88410	9399182	discard	iter 5: WD 0.06->0.09 (Muon+Adam). Post-int6: 1.8841 (vs iter 4 WD=0.04: 2.1347 = -0.25 BPB improvement from WD alone). Artifact 9.40 MB (smaller than iter 4's 9.63 = better compression from higher WD). K-sweep flat k4=k8=k16=1.884. gg_iter dome [0.56,0.57,0.39,0.22,0.13,0.09,0.07,0.05]. Quant gap only 0.008 BPB. Single GPU 374 steps. WD=0.09 is validated win per-step; would likely beat iter 1's 1.62 if run on 2 GPUs
709af0c	0.00000	0	crash	iter 6 attempt 1: dim768 + bigram4096x128 + 16exp/rank128/192 + WD=0.09 + 2h. Routing collapse at step 400 (attn_cv 0.17->1.12, expert 2 took 29.5%, experts 3/15 nearly dead at 1.3-1.9%). val_bpb 2.20->3.82. deq_residual 3849->85598 (22x). SAME FAILURE as iter 3a1: 16 experts at full rank is too much per-expert capacity for bal_loss_coef=5e-3. Scaling law: collapse risk ~ num_experts * expert_rank^2. Fix: drop to 8 experts (proven stable at rank 128 for 743 steps in iter 3a3)
175bfb0	1.81751	5026845	discard	iter 6 attempt 2: dim=768 + 8exp/rank128/192 + bigram 4096x128 + WD=0.09 + beta=0.20 + 2GPU/1h. Post-int6: 1.8175 (worse than iter 1's 1.62 — fewer steps 567 vs 831 from 1.5x slower per-step at dim=768). Artifact ONLY 5.03 MB = 11 MB headroom under 16MB. gg_iter peak=0.909 at iter 1 — model uses 2.1x more total transformation than dim=512 runs. Expert balance cv=0.068-0.103 (best ever). K-sweep flat k4=k8=k16=1.8175. Effective transformer body 8.5M params (1.8x iter 1's 4.7M)
649f1f6	1.79601	5048959	discard	iter 7: beta sweep beta=0.10 (was 0.20). Post-int6: 1.7960 (vs beta=0.20: 1.8175 = -0.022 BPB win from tighter contraction). Model compensates: gg_mean rose 0.46->0.62, gg_iter peak 0.909->0.983 (near full open). Gate absorbs beta changes — total effective update (beta*gg_sum) is 0.49 vs 0.65, yet val_bpb is BETTER with less total update. Tighter contraction → higher-quality fixed point. K-sweep flat k4=k8=k16=1.796. Artifact 5.05 MB. Conservative beta confirmed better per user hypothesis
ea2778b	0.00000	0	discard	iter 7b: beta sweep beta=0.05. val_bpb 1.815 pre-quant (worse than beta=0.10's 1.786). Gate saturated: gg_iter=[1.000,0.999,0.995,0.933,...] — first 3 iters at sigmoid ceiling. deq_residual 24014 (7x larger than beta=0.10). SWEEP CONCLUSION: U-shaped optimum. beta=0.20 too large (gate under-used, val 1.806), beta=0.05 too small (gate saturated, val 1.815), BETA=0.10 IS OPTIMAL (gate has room, val 1.786). Sweep done.
7c61d9b	1.88189	7322376	discard	iter 8: doubled expert_rank 128/192->256/384. Post-int6: 1.8819 (WORSE than iter 7's 1.7960). Per-step learning was better (-0.030 at step 400) but throughput penalty dominated: 419 steps vs 569 (26% fewer). SCALING LAW: at 1h budget on 2xL40S, rank 128/192 is Pareto optimal. More capacity can't be trained in time. Binding constraint is steps/hour, not model capacity. Artifact 7.32 MB. K-sweep flat k4=k8=k16=1.882
4c656a6	1.75386	5132781	keep	iter 9: WD 0.09->0.18. NEW BEST post-int6: 1.7539 (vs iter 7 WD=0.09: 1.7960 = -0.042 improvement). Quant gap ONLY 0.004 (smallest ever, vs 0.010 at WD=0.09). WD scaling trend 0.06->0.09->0.18 all improve. gg_iter [1.0,1.0,1.0,0.96,0.67,0.41,0.30,0.22] first 3 saturated. deq_residual 5156 (elevated but stable). 569 steps at 6307ms/step. Artifact 5.13 MB. Config: dim=768 8exp rank128/192 beta=0.10 WD=0.18 bigram4096x128 SWA/EMA off parallel-resid K-sweep flat k4=k8=k16=1.7539
TODO	1.77908	5122162	discard	iter 10: WD 0.18->0.36. Post-int6: 1.7791 (better than WD=0.09's 1.7960 but worse than WD=0.18's 1.7539). WD SWEEP CONCLUSION: 0.18 is optimum. 0.36 over-regularizes training (1.87 at step 400 vs 0.18's 1.84) but compensates partly via better quant. gg_iter nearly flat [1.0,1.0,1.0,0.98,0.83,0.59,0.48,0.41] — gate saturated across all iters. K-sweep FLAT k4=k8=k16=1.779 despite high gg[7]=0.41 — high gate != not converged (effect = gg*(z2-z_in) ≈ 0 at fixed point). Artifact 5.12 MB
e489665	1.77768	5022550	discard	iter 12b: WD=0.36 with FIXED K-sweep. FIRST VALID K-SWEEP: k4=1.781 k8=1.778(best) k16=1.802 k32=1.820 k64=1.825. FP FOUND at K~40 (gate 0.007, residual 140) but FP quality 0.047 worse than K=8 partial convergence. Model optimized for K=8, not FP. Fix: wider K jitter during training. gg_iter at K=64 shows textbook convergence [1.0,...,0.007] with plateau at iter 40+. Bug fix confirmed: K=4 now correctly shows 4 gg_iter entries and different val_bpb from K=8.
1883e0d	1.97627	5122507	discard	iter 13: WD=0.72/β=0.20 + K jitter {4,8,12,16}. Post-int6: 1.976 (356 steps — K jitter overhead 10.1s/step). FIRST VALID K-SWEEP WITH K JITTER: k4=2.007 k8=1.983 k16=1.983 k32=1.986 k64=1.992. K=8→K=16 degradation: 0.0002 (was 0.025 in iter12b = 125x improvement!). K=8→K=64: 0.009 (was 0.047 = 5x improvement). H12 STRONG EVIDENCE: wider K jitter fixes FP quality. H17 SUPPORTED: WD=0.72 stable with β=0.20. Gate reaches 0.015 at K=64 (true convergence). Quant gap only 0.002
TODO	2.04573	5133474	discard	iter 14a: β=0.30/WD=0.72 (H18 test). Post-int6: 2.046 (356 steps). K-sweep: k4=2.065 k8=2.052 k16=2.053 k32=2.059 k64=2.072. Convergence 2x FASTER (residuals 40-50% lower at all K) but FP quality 2x WORSE (K=8→K=64 Δ=+0.020 vs β=0.20's +0.009). H18: β controls convergence SPEED but also changes WHICH FP is found. Lower β = better FP quality. Gate transitioned from flat (step 200) to dome (step 356) — H19 revision: dome gate eventually forms at WD=0.72/β=0.30, just slower
